"filename", "language", "JSON", "JavaScript", "PHP", "Markdown", "CSS", "XML", "comment", "blank", "total"
"/Users/Emmanuel/Sites/ngm/composer.lock", "JSON", 10131, 0, 0, 0, 0, 0, 0, 1, 10132
"/Users/Emmanuel/Sites/ngm/config/app.php", "PHP", 0, 0, 49, 0, 0, 0, 134, 34, 217
"/Users/Emmanuel/Sites/ngm/config/auth.php", "PHP", 0, 0, 28, 0, 0, 0, 74, 14, 116
"/Users/Emmanuel/Sites/ngm/config/broadcasting.php", "PHP", 0, 0, 35, 0, 0, 0, 23, 13, 71
"/Users/Emmanuel/Sites/ngm/config/cache.php", "PHP", 0, 0, 58, 0, 0, 0, 34, 19, 111
"/Users/Emmanuel/Sites/ngm/config/cors.php", "PHP", 0, 0, 3, 0, 0, 0, 29, 3, 35
"/Users/Emmanuel/Sites/ngm/config/database.php", "PHP", 0, 0, 83, 0, 0, 0, 47, 22, 152
"/Users/Emmanuel/Sites/ngm/config/filesystems.php", "PHP", 0, 0, 32, 0, 0, 0, 32, 13, 77
"/Users/Emmanuel/Sites/ngm/config/hashing.php", "PHP", 0, 0, 12, 0, 0, 0, 32, 9, 53
"/Users/Emmanuel/Sites/ngm/config/logging.php", "PHP", 0, 0, 71, 0, 0, 0, 34, 19, 124
"/Users/Emmanuel/Sites/ngm/config/mail.php", "PHP", 0, 0, 53, 0, 0, 0, 53, 19, 125
"/Users/Emmanuel/Sites/ngm/config/permission.php", "PHP", 0, 0, 30, 0, 0, 0, 91, 41, 162
"/Users/Emmanuel/Sites/ngm/config/queue.php", "PHP", 0, 0, 47, 0, 0, 0, 32, 15, 94
"/Users/Emmanuel/Sites/ngm/config/sanctum.php", "PHP", 0, 0, 15, 0, 0, 0, 41, 12, 68
"/Users/Emmanuel/Sites/ngm/config/services.php", "PHP", 0, 0, 17, 0, 0, 0, 11, 7, 35
"/Users/Emmanuel/Sites/ngm/config/session.php", "PHP", 0, 0, 22, 0, 0, 0, 147, 33, 202
"/Users/Emmanuel/Sites/ngm/config/telescope.php", "PHP", 0, 0, 80, 0, 0, 0, 72, 36, 188
"/Users/Emmanuel/Sites/ngm/config/view.php", "PHP", 0, 0, 10, 0, 0, 0, 20, 7, 37
"/Users/Emmanuel/Sites/ngm/database/factories/UserFactory.php", "PHP", 0, 0, 31, 0, 0, 0, 11, 5, 47
"/Users/Emmanuel/Sites/ngm/database/migrations/2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 33, 0, 0, 0, 6, 4, 43
"/Users/Emmanuel/Sites/ngm/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 19, 0, 0, 0, 6, 4, 29
"/Users/Emmanuel/Sites/ngm/database/migrations/2018_08_08_100000_create_telescope_entries_table.php", "PHP", 0, 0, 50, 0, 0, 0, 9, 12, 71
"/Users/Emmanuel/Sites/ngm/database/migrations/2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 6, 4, 33
"/Users/Emmanuel/Sites/ngm/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 6, 4, 34
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_15_134152_create_home_slides_table.php", "PHP", 0, 0, 22, 0, 0, 0, 10, 4, 36
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_15_195407_create_abouts_table.php", "PHP", 0, 0, 23, 0, 0, 0, 10, 4, 37
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_17_011709_create_multi_images_table.php", "PHP", 0, 0, 19, 0, 0, 0, 10, 4, 33
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_17_160527_create_portfolios_table.php", "PHP", 0, 0, 22, 0, 0, 0, 10, 4, 36
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_19_173323_create_blog_categories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 10, 4, 33
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_20_073209_create_blogs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 10, 4, 37
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_22_074642_create_footers_table.php", "PHP", 0, 0, 25, 0, 0, 0, 10, 4, 39
"/Users/Emmanuel/Sites/ngm/database/migrations/2022_03_22_083513_create_contacts_table.php", "PHP", 0, 0, 23, 0, 0, 0, 10, 4, 37
